Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
2;144.0;141.0;37;-21.0;Apart BLANCO para ESQUÍ y ALHAMBRA. Garaje privado;Genil, Granada;2500;apartamento;3;9.4;;75;Apartamento de 1 dormitorio;1;1;1;1;36;2;0;1;0;0;1;0
6;312.0;149.0;138;-2.0;Apart. Santa Paula en Granada;Centro de Granada, Granada;500;;0;8.5;;30;Apartamento de 2 dormitorios;2;1;1;0;0;4;2;1;0;0;1;0
4;315.0;366.0;1;30.0;Apart. en el Realejo de Granada;Centro de Granada, Granada;500;apartamento;3;8.2;;39;Apartamento de 1 dormitorio;1;1;1;0;45;2;0;1;0;0;1;0
6;315.0;200.0;184;-14.0;Apart. en el centro de Granada;Barrio de Ronda, Granada;900;apartamento;3;8.3;;42;Apartamento de 2 dormitorios;2;1;1;0;65;3;0;1;0;0;1;1
4;300.0;286.0;32;5.0;Apartamento 'Leyendas de Gracia';Centro de Granada, Granada;500;apartamento;4;5.5;;2;Apartamento de 1 dormitorio;1;1;2;1;60;2;0;1;0;0;1;0
6;748.0;241.0;30;258.0;Apartamento - La Fuente -;Albaicín, Granada;800;;0;10.0;;1;Apartamento de 3 dormitorios;3;1;2;1;100;5;4;0;1;0;0;0
8;418.0;194.0;54;-139.0;Apartamento 12 personas;Granada;16600;;0;0.0;;0;Apartamento;0;0;0;0;0;1;0;1;0;0;0;0
8;510.0;155.0;319;-117.0;Apartamento 3 dormitorios con aire acondicionado;Beiro, Granada;2400;apartamento;3;7.8;;139;Apartamento de 3 dormitorios;3;1;1;1;98;3;0;3;0;0;0;0
8;501.0;164.0;368;-115.0;Apartamento 3 dormitorios frente a Hospital de Traumatología;Beiro, Granada;2200;apartamento;3;7.5;;62;Apartamento de 3 dormitorios;3;0;0;0;0;4;2;2;0;0;0;0
4;288.0;249.0;24;-41.0;Apartamento ALDAMY;Genil, Granada;3700;apartamento;3;9.0;;28;Apartamento;2;1;1;1;60;2;0;2;0;0;0;0
6;275.0;46.0;48;-74.0;Apartamento Abad Centro;Centro de Granada, Granada;600;;0;7.9;;103;Apartamento de 3 dormitorios;3;0;1;0;0;6;2;2;0;0;0;2
4;410.0;353.0;1;125.0;Apartamento Albaycin Granada;Beiro, Granada;900;apartamento;3;8.8;;293;Apartamento;4;1;1;1;88;6;4;1;0;0;1;0
4;227.0;307.0;39;15.0;Apartamento Alberca de 1 dormitorio;Centro de Granada, Granada;450;apartamento;3;9.2;preferente;25;Apartamento de 1 dormitorio;1;0;1;1;60;3;2;0;0;0;1;0
4;219.0;218.0;33;-35.0;Apartamento Alberzana - Barrio Albaicin - Granada;Beiro, Granada;1000;apartamento;3;9.5;;11;Apartamento de 1 dormitorio;1;1;1;1;60;2;0;1;0;0;1;0
8;389.0;94.0;178;-105.0;Apartamento Alborea;Centro de Granada, Granada;1100;apartamento;3;8.2;;115;Apartamento Deluxe;3;1;2;1;100;7;4;1;0;0;2;0
8;257.0;119.0;68;-108.0;Apartamento Alborea 2;Centro de Granada, Granada;1100;;0;0.0;;0;Apartamento de 3 dormitorios;3;0;0;0;0;3;2;0;0;0;1;0
4;284.0;301.0;20;80.0;Apartamento Alhambra Boutique;Albaicín, Granada;700;apartamento;4;8.8;;74;Apartamento de 3 dormitorios;3;1;1;1;80;3;1;2;0;0;0;0
6;477.0;140.0;89;85.0;Apartamento Alminar;Genil, Granada;1000;apartamento;4;9.0;preferente;60;Apartamento de 3 dormitorios;3;0;2;1;110;3;0;3;0;0;0;0
4;213.0;274.0;4;-110.0;Apartamento Almunia;Chana, Granada;3700;apartamento;4;8.0;;125;Apartamento de 2 dormitorios;2;1;1;1;70;2;0;0;2;0;0;0
